[2026-01-19 20:00:56] ERROR: Class "controller" not found in /var/www/html/Club-Edge/public/index.php:22
[2026-01-19 20:00:57] ERROR: Class "controller" not found in /var/www/html/Club-Edge/public/index.php:22
[2026-01-19 20:00:57] ERROR: Class "controller" not found in /var/www/html/Club-Edge/public/index.php:22
[2026-01-21 01:34:02] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:34:02] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:34:02] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:35:13] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:35:13] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:35:14] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:35:14] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:35:15] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:36:25] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:36:25] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:36:25] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
[2026-01-21 01:36:26] ERROR: Undefined variable $students (View: /var/www/html/Club-Edge/App/Views/dashboards/admin.blade.php) in /var/www/html/Club-Edge/cache/views/abcdd50659a80bd852431340a1a7877e.php:253
